participant,session,trial,reference,label,condition,rating
Elliot,01,1,Center_Book_arrival,B,Original,100
Elliot,01,1,Center_Book_arrival,E,Fehn_i,88
Elliot,01,1,Center_Book_arrival,C,Fehn_c,86
Elliot,01,1,Center_Book_arrival,F,ICIP_TMM,80
Elliot,01,1,Center_Book_arrival,A,ICME,87
Elliot,01,1,Center_Book_arrival,D,Holes,35
Elliot,01,2,Right_Book_arrival,E,Fehn_c,70
Elliot,01,2,Right_Book_arrival,C,Original,100
Elliot,01,2,Right_Book_arrival,A,Fehn_i,79
Elliot,01,2,Right_Book_arrival,F,ICME,66
Elliot,01,2,Right_Book_arrival,B,Holes,21
Elliot,01,2,Right_Book_arrival,D,ICIP_TMM,78
Elliot,01,3,Right_Newspaper,E,ICME,38
Elliot,01,3,Right_Newspaper,C,Holes,12
Elliot,01,3,Right_Newspaper,A,Fehn_i,29
Elliot,01,3,Right_Newspaper,D,ICIP_TMM,20
Elliot,01,3,Right_Newspaper,B,Fehn_c,57
Elliot,01,3,Right_Newspaper,F,Original,100
Elliot,01,4,Center_Lovebird,D,Fehn_i,90
Elliot,01,4,Center_Lovebird,A,Holes,72
Elliot,01,4,Center_Lovebird,B,ICIP_TMM,79
Elliot,01,4,Center_Lovebird,E,Original,100
Elliot,01,4,Center_Lovebird,F,Fehn_c,90
Elliot,01,4,Center_Lovebird,C,ICME,84
Elliot,01,5,Right_Lovebird,B,Fehn_i,76
Elliot,01,5,Right_Lovebird,F,ICIP_TMM,68
Elliot,01,5,Right_Lovebird,A,Holes,47
Elliot,01,5,Right_Lovebird,E,ICME,61
Elliot,01,5,Right_Lovebird,C,Fehn_c,81
Elliot,01,5,Right_Lovebird,D,Original,100
Elliot,01,6,Center_Newspaper,C,Original,100
Elliot,01,6,Center_Newspaper,A,Fehn_c,91
Elliot,01,6,Center_Newspaper,B,Fehn_i,87
Elliot,01,6,Center_Newspaper,D,Holes,54
Elliot,01,6,Center_Newspaper,E,ICIP_TMM,85
Elliot,01,6,Center_Newspaper,F,ICME,78
