participant,session,trial,reference,label,condition,rating
HU,01,1,Right_Book_arrival,B,Original,97
HU,01,1,Right_Book_arrival,C,Holes,47
HU,01,1,Right_Book_arrival,E,Fehn_i,61
HU,01,1,Right_Book_arrival,D,Fehn_c,66
HU,01,1,Right_Book_arrival,A,ICIP_TMM,76
HU,01,1,Right_Book_arrival,F,ICME,59
HU,01,2,Right_Lovebird,B,Holes,43
HU,01,2,Right_Lovebird,A,ICME,64
HU,01,2,Right_Lovebird,C,ICIP_TMM,74
HU,01,2,Right_Lovebird,D,Fehn_c,85
HU,01,2,Right_Lovebird,E,Fehn_i,91
HU,01,2,Right_Lovebird,F,Original,99
HU,01,3,Center_Lovebird,C,ICIP_TMM,86
HU,01,3,Center_Lovebird,A,ICME,78
HU,01,3,Center_Lovebird,B,Fehn_i,92
HU,01,3,Center_Lovebird,F,Fehn_c,97
HU,01,3,Center_Lovebird,E,Original,97
HU,01,3,Center_Lovebird,D,Holes,68
HU,01,4,Center_Newspaper,E,Fehn_c,94
HU,01,4,Center_Newspaper,F,ICME,81
HU,01,4,Center_Newspaper,A,Original,100
HU,01,4,Center_Newspaper,D,Holes,33
HU,01,4,Center_Newspaper,B,ICIP_TMM,84
HU,01,4,Center_Newspaper,C,Fehn_i,97
HU,01,5,Right_Newspaper,B,Original,94
HU,01,5,Right_Newspaper,C,ICME,73
HU,01,5,Right_Newspaper,F,Fehn_i,77
HU,01,5,Right_Newspaper,A,Fehn_c,71
HU,01,5,Right_Newspaper,E,ICIP_TMM,66
HU,01,5,Right_Newspaper,D,Holes,20
HU,01,6,Center_Book_arrival,B,ICIP_TMM,85
HU,01,6,Center_Book_arrival,D,Holes,55
HU,01,6,Center_Book_arrival,F,Fehn_i,77
HU,01,6,Center_Book_arrival,E,ICME,66
HU,01,6,Center_Book_arrival,C,Fehn_c,75
HU,01,6,Center_Book_arrival,A,Original,98
