participant,session,trial,reference,label,condition,rating
LEI,01,1,Right_Newspaper,D,ICIP_TMM,77
LEI,01,1,Right_Newspaper,A,Fehn_i,66
LEI,01,1,Right_Newspaper,F,ICME,53
LEI,01,1,Right_Newspaper,B,Fehn_c,56
LEI,01,1,Right_Newspaper,C,Holes,35
LEI,01,1,Right_Newspaper,E,Original,95
LEI,01,2,Center_Book_arrival,D,ICME,89
LEI,01,2,Center_Book_arrival,C,ICIP_TMM,81
LEI,01,2,Center_Book_arrival,A,Original,87
LEI,01,2,Center_Book_arrival,B,Fehn_c,64
LEI,01,2,Center_Book_arrival,F,Fehn_i,78
LEI,01,2,Center_Book_arrival,E,Holes,61
LEI,01,3,Center_Newspaper,B,Fehn_c,77
LEI,01,3,Center_Newspaper,D,Holes,54
LEI,01,3,Center_Newspaper,A,Fehn_i,59
LEI,01,3,Center_Newspaper,C,ICIP_TMM,66
LEI,01,3,Center_Newspaper,E,Original,90
LEI,01,3,Center_Newspaper,F,ICME,79
LEI,01,4,Center_Lovebird,F,Holes,76
LEI,01,4,Center_Lovebird,B,ICME,74
LEI,01,4,Center_Lovebird,D,Original,85
LEI,01,4,Center_Lovebird,A,ICIP_TMM,77
LEI,01,4,Center_Lovebird,C,Fehn_i,69
LEI,01,4,Center_Lovebird,E,Fehn_c,61
LEI,01,5,Right_Book_arrival,F,ICIP_TMM,66
LEI,01,5,Right_Book_arrival,E,ICME,53
LEI,01,5,Right_Book_arrival,B,Fehn_i,62
LEI,01,5,Right_Book_arrival,A,Original,71
LEI,01,5,Right_Book_arrival,C,Holes,57
LEI,01,5,Right_Book_arrival,D,Fehn_c,61
LEI,01,6,Right_Lovebird,B,ICIP_TMM,70
LEI,01,6,Right_Lovebird,C,ICME,70
LEI,01,6,Right_Lovebird,E,Fehn_c,77
LEI,01,6,Right_Lovebird,D,Fehn_i,68
LEI,01,6,Right_Lovebird,A,Original,86
LEI,01,6,Right_Lovebird,F,Holes,62
