participant,session,trial,reference,label,condition,rating
VEDRAN,01,1,Right_Newspaper,C,Original,88
VEDRAN,01,1,Right_Newspaper,F,Fehn_c,80
VEDRAN,01,1,Right_Newspaper,E,ICME,34
VEDRAN,01,1,Right_Newspaper,A,Fehn_i,93
VEDRAN,01,1,Right_Newspaper,B,Holes,19
VEDRAN,01,1,Right_Newspaper,D,ICIP_TMM,50
VEDRAN,01,2,Center_Lovebird,E,Fehn_c,91
VEDRAN,01,2,Center_Lovebird,A,ICME,75
VEDRAN,01,2,Center_Lovebird,D,Fehn_i,93
VEDRAN,01,2,Center_Lovebird,F,Holes,33
VEDRAN,01,2,Center_Lovebird,B,ICIP_TMM,25
VEDRAN,01,2,Center_Lovebird,C,Original,100
VEDRAN,01,3,Center_Book_arrival,A,ICME,75
VEDRAN,01,3,Center_Book_arrival,C,Fehn_i,87
VEDRAN,01,3,Center_Book_arrival,F,Holes,34
VEDRAN,01,3,Center_Book_arrival,B,Original,100
VEDRAN,01,3,Center_Book_arrival,E,ICIP_TMM,49
VEDRAN,01,3,Center_Book_arrival,D,Fehn_c,93
VEDRAN,01,4,Center_Newspaper,B,Holes,26
VEDRAN,01,4,Center_Newspaper,D,ICME,67
VEDRAN,01,4,Center_Newspaper,E,ICIP_TMM,80
VEDRAN,01,4,Center_Newspaper,F,Fehn_i,91
VEDRAN,01,4,Center_Newspaper,C,Original,99
VEDRAN,01,4,Center_Newspaper,A,Fehn_c,90
VEDRAN,01,5,Right_Lovebird,E,ICME,75
VEDRAN,01,5,Right_Lovebird,A,Fehn_c,85
VEDRAN,01,5,Right_Lovebird,B,Holes,76
VEDRAN,01,5,Right_Lovebird,D,Fehn_i,88
VEDRAN,01,5,Right_Lovebird,F,Original,100
VEDRAN,01,5,Right_Lovebird,C,ICIP_TMM,63
VEDRAN,01,6,Right_Book_arrival,A,ICIP_TMM,50
VEDRAN,01,6,Right_Book_arrival,B,Holes,19
VEDRAN,01,6,Right_Book_arrival,F,Original,100
VEDRAN,01,6,Right_Book_arrival,D,Fehn_i,64
VEDRAN,01,6,Right_Book_arrival,C,ICME,31
VEDRAN,01,6,Right_Book_arrival,E,Fehn_c,64
