participant,session,trial,reference,label,condition,rating
ZEKAI,01,1,Center_Newspaper,F,Original,91
ZEKAI,01,1,Center_Newspaper,A,Holes,41
ZEKAI,01,1,Center_Newspaper,E,Fehn_i,68
ZEKAI,01,1,Center_Newspaper,B,ICIP_TMM,61
ZEKAI,01,1,Center_Newspaper,C,ICME,67
ZEKAI,01,1,Center_Newspaper,D,Fehn_c,82
ZEKAI,01,2,Center_Book_arrival,F,Fehn_c,70
ZEKAI,01,2,Center_Book_arrival,D,Holes,47
ZEKAI,01,2,Center_Book_arrival,B,ICME,56
ZEKAI,01,2,Center_Book_arrival,E,ICIP_TMM,84
ZEKAI,01,2,Center_Book_arrival,A,Original,97
ZEKAI,01,2,Center_Book_arrival,C,Fehn_i,90
ZEKAI,01,3,Center_Lovebird,D,ICIP_TMM,74
ZEKAI,01,3,Center_Lovebird,A,Fehn_i,82
ZEKAI,01,3,Center_Lovebird,E,ICME,75
ZEKAI,01,3,Center_Lovebird,C,Original,94
ZEKAI,01,3,Center_Lovebird,B,Fehn_c,84
ZEKAI,01,3,Center_Lovebird,F,Holes,51
ZEKAI,01,4,Right_Lovebird,D,Holes,40
ZEKAI,01,4,Right_Lovebird,B,ICME,51
ZEKAI,01,4,Right_Lovebird,F,Original,97
ZEKAI,01,4,Right_Lovebird,C,Fehn_c,76
ZEKAI,01,4,Right_Lovebird,A,ICIP_TMM,75
ZEKAI,01,4,Right_Lovebird,E,Fehn_i,82
ZEKAI,01,5,Right_Newspaper,C,Fehn_c,76
ZEKAI,01,5,Right_Newspaper,B,ICME,57
ZEKAI,01,5,Right_Newspaper,E,ICIP_TMM,50
ZEKAI,01,5,Right_Newspaper,A,Holes,25
ZEKAI,01,5,Right_Newspaper,F,Original,93
ZEKAI,01,5,Right_Newspaper,D,Fehn_i,83
ZEKAI,01,6,Right_Book_arrival,C,Fehn_i,65
ZEKAI,01,6,Right_Book_arrival,D,Fehn_c,73
ZEKAI,01,6,Right_Book_arrival,A,ICME,62
ZEKAI,01,6,Right_Book_arrival,B,ICIP_TMM,65
ZEKAI,01,6,Right_Book_arrival,E,Original,98
ZEKAI,01,6,Right_Book_arrival,F,Holes,29
