participant,session,trial,reference,label,condition,rating
cbuze,01,1,Right_Newspaper,A,ICIP_TMM,68
cbuze,01,1,Right_Newspaper,D,Holes,52
cbuze,01,1,Right_Newspaper,F,ICME,34
cbuze,01,1,Right_Newspaper,B,Fehn_c,47
cbuze,01,1,Right_Newspaper,C,Original,47
cbuze,01,1,Right_Newspaper,E,Fehn_i,60
cbuze,01,2,Center_Book_arrival,B,Holes,94
cbuze,01,2,Center_Book_arrival,A,Original,77
cbuze,01,2,Center_Book_arrival,F,ICIP_TMM,54
cbuze,01,2,Center_Book_arrival,D,Fehn_i,23
cbuze,01,2,Center_Book_arrival,C,Fehn_c,46
cbuze,01,2,Center_Book_arrival,E,ICME,48
cbuze,01,3,Center_Lovebird,D,Fehn_c,50
cbuze,01,3,Center_Lovebird,C,Fehn_i,48
cbuze,01,3,Center_Lovebird,B,Holes,47
cbuze,01,3,Center_Lovebird,A,ICIP_TMM,56
cbuze,01,3,Center_Lovebird,F,ICME,51
cbuze,01,3,Center_Lovebird,E,Original,45
cbuze,01,4,Right_Book_arrival,F,Fehn_c,46
cbuze,01,4,Right_Book_arrival,A,Original,45
cbuze,01,4,Right_Book_arrival,B,ICME,42
cbuze,01,4,Right_Book_arrival,C,Fehn_i,43
cbuze,01,4,Right_Book_arrival,D,Holes,44
cbuze,01,4,Right_Book_arrival,E,ICIP_TMM,67
cbuze,01,5,Right_Lovebird,E,ICIP_TMM,57
cbuze,01,5,Right_Lovebird,A,Fehn_i,40
cbuze,01,5,Right_Lovebird,D,Holes,31
cbuze,01,5,Right_Lovebird,B,Original,61
cbuze,01,5,Right_Lovebird,F,ICME,39
cbuze,01,5,Right_Lovebird,C,Fehn_c,40
cbuze,01,6,Center_Newspaper,A,ICIP_TMM,77
cbuze,01,6,Center_Newspaper,F,ICME,44
cbuze,01,6,Center_Newspaper,D,Fehn_c,16
cbuze,01,6,Center_Newspaper,E,Holes,61
cbuze,01,6,Center_Newspaper,B,Fehn_i,47
cbuze,01,6,Center_Newspaper,C,Original,6
