participant,session,trial,reference,label,condition,rating
christopher,01,1,Center_Book_arrival,A,Holes,79
christopher,01,1,Center_Book_arrival,D,Original,5
christopher,01,1,Center_Book_arrival,C,Fehn_i,35
christopher,01,1,Center_Book_arrival,F,ICIP_TMM,48
christopher,01,1,Center_Book_arrival,B,ICME,65
christopher,01,1,Center_Book_arrival,E,Fehn_c,22
christopher,01,2,Right_Newspaper,F,Fehn_i,51
christopher,01,2,Right_Newspaper,E,Original,0
christopher,01,2,Right_Newspaper,C,ICME,85
christopher,01,2,Right_Newspaper,B,Holes,99
christopher,01,2,Right_Newspaper,D,Fehn_c,35
christopher,01,2,Right_Newspaper,A,ICIP_TMM,67
christopher,01,3,Center_Newspaper,F,Original,0
christopher,01,3,Center_Newspaper,D,ICIP_TMM,57
christopher,01,3,Center_Newspaper,A,Holes,74
christopher,01,3,Center_Newspaper,B,Fehn_c,25
christopher,01,3,Center_Newspaper,C,ICME,49
christopher,01,3,Center_Newspaper,E,Fehn_i,37
christopher,01,4,Right_Book_arrival,A,Original,0
christopher,01,4,Right_Book_arrival,E,Fehn_i,23
christopher,01,4,Right_Book_arrival,B,ICIP_TMM,49
christopher,01,4,Right_Book_arrival,D,Fehn_c,37
christopher,01,4,Right_Book_arrival,C,Holes,96
christopher,01,4,Right_Book_arrival,F,ICME,74
christopher,01,5,Center_Lovebird,E,Holes,76
christopher,01,5,Center_Lovebird,B,Fehn_c,26
christopher,01,5,Center_Lovebird,D,Original,0
christopher,01,5,Center_Lovebird,C,Fehn_i,46
christopher,01,5,Center_Lovebird,F,ICME,64
christopher,01,5,Center_Lovebird,A,ICIP_TMM,64
christopher,01,6,Right_Lovebird,B,Fehn_i,51
christopher,01,6,Right_Lovebird,A,ICME,74
christopher,01,6,Right_Lovebird,C,Holes,100
christopher,01,6,Right_Lovebird,E,Fehn_c,51
christopher,01,6,Right_Lovebird,D,ICIP_TMM,75
christopher,01,6,Right_Lovebird,F,Original,0
