participant,session,trial,reference,label,condition,rating
cla,01,1,Right_Newspaper,E,Fehn_c,66
cla,01,1,Right_Newspaper,B,Holes,0
cla,01,1,Right_Newspaper,A,Original,100
cla,01,1,Right_Newspaper,D,ICIP_TMM,28
cla,01,1,Right_Newspaper,C,ICME,34
cla,01,1,Right_Newspaper,F,Fehn_i,50
cla,01,2,Center_Lovebird,C,ICIP_TMM,36
cla,01,2,Center_Lovebird,B,Holes,0
cla,01,2,Center_Lovebird,E,Fehn_c,77
cla,01,2,Center_Lovebird,A,Fehn_i,91
cla,01,2,Center_Lovebird,D,ICME,37
cla,01,2,Center_Lovebird,F,Original,100
cla,01,3,Right_Book_arrival,D,Original,100
cla,01,3,Right_Book_arrival,B,ICME,51
cla,01,3,Right_Book_arrival,E,Fehn_c,80
cla,01,3,Right_Book_arrival,F,ICIP_TMM,38
cla,01,3,Right_Book_arrival,C,Fehn_i,78
cla,01,3,Right_Book_arrival,A,Holes,0
cla,01,4,Center_Book_arrival,B,ICIP_TMM,51
cla,01,4,Center_Book_arrival,D,Fehn_c,59
cla,01,4,Center_Book_arrival,E,Holes,0
cla,01,4,Center_Book_arrival,F,ICME,42
cla,01,4,Center_Book_arrival,C,Fehn_i,66
cla,01,4,Center_Book_arrival,A,Original,100
cla,01,5,Center_Newspaper,F,Original,100
cla,01,5,Center_Newspaper,A,ICME,53
cla,01,5,Center_Newspaper,C,Fehn_i,72
cla,01,5,Center_Newspaper,D,Holes,0
cla,01,5,Center_Newspaper,B,ICIP_TMM,49
cla,01,5,Center_Newspaper,E,Fehn_c,67
cla,01,6,Right_Lovebird,B,Fehn_i,68
cla,01,6,Right_Lovebird,D,ICIP_TMM,28
cla,01,6,Right_Lovebird,C,Holes,0
cla,01,6,Right_Lovebird,E,Original,100
cla,01,6,Right_Lovebird,F,Fehn_c,62
cla,01,6,Right_Lovebird,A,ICME,34
