participant,session,trial,reference,label,condition,rating
corgi,01,1,Center_Book_arrival,D,Holes,32
corgi,01,1,Center_Book_arrival,E,Original,100
corgi,01,1,Center_Book_arrival,B,ICME,57
corgi,01,1,Center_Book_arrival,C,ICIP_TMM,70
corgi,01,1,Center_Book_arrival,F,Fehn_c,80
corgi,01,1,Center_Book_arrival,A,Fehn_i,88
corgi,01,2,Center_Lovebird,A,ICME,43
corgi,01,2,Center_Lovebird,F,Fehn_c,89
corgi,01,2,Center_Lovebird,E,Holes,30
corgi,01,2,Center_Lovebird,B,Fehn_i,71
corgi,01,2,Center_Lovebird,C,Original,100
corgi,01,2,Center_Lovebird,D,ICIP_TMM,43
corgi,01,3,Right_Book_arrival,B,ICIP_TMM,31
corgi,01,3,Right_Book_arrival,A,Fehn_c,48
corgi,01,3,Right_Book_arrival,C,Original,100
corgi,01,3,Right_Book_arrival,D,Fehn_i,38
corgi,01,3,Right_Book_arrival,F,ICME,22
corgi,01,3,Right_Book_arrival,E,Holes,7
corgi,01,4,Right_Newspaper,A,Holes,19
corgi,01,4,Right_Newspaper,D,Fehn_c,65
corgi,01,4,Right_Newspaper,B,Fehn_i,70
corgi,01,4,Right_Newspaper,E,ICIP_TMM,29
corgi,01,4,Right_Newspaper,F,Original,99
corgi,01,4,Right_Newspaper,C,ICME,45
corgi,01,5,Center_Newspaper,B,Original,100
corgi,01,5,Center_Newspaper,C,Fehn_i,78
corgi,01,5,Center_Newspaper,F,Fehn_c,78
corgi,01,5,Center_Newspaper,E,ICME,52
corgi,01,5,Center_Newspaper,A,ICIP_TMM,41
corgi,01,5,Center_Newspaper,D,Holes,15
corgi,01,6,Right_Lovebird,D,ICIP_TMM,50
corgi,01,6,Right_Lovebird,A,Original,100
corgi,01,6,Right_Lovebird,E,Fehn_i,82
corgi,01,6,Right_Lovebird,C,ICME,38
corgi,01,6,Right_Lovebird,B,Holes,14
corgi,01,6,Right_Lovebird,F,Fehn_c,75
