participant,session,trial,reference,label,condition,rating
d,01,1,Center_Newspaper,F,Fehn_c,78
d,01,1,Center_Newspaper,B,Original,79
d,01,1,Center_Newspaper,D,ICME,79
d,01,1,Center_Newspaper,C,ICIP_TMM,75
d,01,1,Center_Newspaper,E,Fehn_i,70
d,01,1,Center_Newspaper,A,Holes,68
d,01,2,Right_Lovebird,F,Fehn_i,75
d,01,2,Right_Lovebird,A,Fehn_c,76
d,01,2,Right_Lovebird,B,ICME,77
d,01,2,Right_Lovebird,D,ICIP_TMM,79
d,01,2,Right_Lovebird,E,Holes,75
d,01,2,Right_Lovebird,C,Original,76
d,01,3,Center_Book_arrival,C,Fehn_i,65
d,01,3,Center_Book_arrival,D,Holes,65
d,01,3,Center_Book_arrival,B,ICME,65
d,01,3,Center_Book_arrival,A,Original,67
d,01,3,Center_Book_arrival,F,ICIP_TMM,62
d,01,3,Center_Book_arrival,E,Fehn_c,60
d,01,4,Right_Newspaper,F,Holes,57
d,01,4,Right_Newspaper,E,ICME,53
d,01,4,Right_Newspaper,D,ICIP_TMM,56
d,01,4,Right_Newspaper,C,Fehn_i,52
d,01,4,Right_Newspaper,B,Original,51
d,01,4,Right_Newspaper,A,Fehn_c,46
d,01,5,Right_Book_arrival,B,ICME,42
d,01,5,Right_Book_arrival,C,Fehn_i,40
d,01,5,Right_Book_arrival,A,Fehn_c,40
d,01,5,Right_Book_arrival,E,Holes,41
d,01,5,Right_Book_arrival,F,ICIP_TMM,38
d,01,5,Right_Book_arrival,D,Original,34
d,01,6,Center_Lovebird,A,Holes,49
d,01,6,Center_Lovebird,B,Original,55
d,01,6,Center_Lovebird,C,ICME,52
d,01,6,Center_Lovebird,E,Fehn_c,52
d,01,6,Center_Lovebird,D,Fehn_i,51
d,01,6,Center_Lovebird,F,ICIP_TMM,51
