participant,session,trial,reference,label,condition,rating
emerik,01,1,Center_Lovebird,A,Holes,35
emerik,01,1,Center_Lovebird,C,ICME,49
emerik,01,1,Center_Lovebird,B,Fehn_c,78
emerik,01,1,Center_Lovebird,E,Original,100
emerik,01,1,Center_Lovebird,F,ICIP_TMM,62
emerik,01,1,Center_Lovebird,D,Fehn_i,75
emerik,01,2,Center_Newspaper,B,Holes,22
emerik,01,2,Center_Newspaper,A,ICME,45
emerik,01,2,Center_Newspaper,D,Fehn_c,79
emerik,01,2,Center_Newspaper,E,ICIP_TMM,54
emerik,01,2,Center_Newspaper,C,Fehn_i,65
emerik,01,2,Center_Newspaper,F,Original,96
emerik,01,3,Right_Lovebird,A,ICIP_TMM,38
emerik,01,3,Right_Lovebird,B,ICME,40
emerik,01,3,Right_Lovebird,C,Holes,20
emerik,01,3,Right_Lovebird,E,Original,100
emerik,01,3,Right_Lovebird,D,Fehn_c,59
emerik,01,3,Right_Lovebird,F,Fehn_i,52
emerik,01,4,Right_Book_arrival,A,Fehn_i,40
emerik,01,4,Right_Book_arrival,B,Original,100
emerik,01,4,Right_Book_arrival,D,ICIP_TMM,63
emerik,01,4,Right_Book_arrival,F,ICME,45
emerik,01,4,Right_Book_arrival,E,Fehn_c,42
emerik,01,4,Right_Book_arrival,C,Holes,24
emerik,01,5,Center_Book_arrival,E,Original,100
emerik,01,5,Center_Book_arrival,F,ICME,61
emerik,01,5,Center_Book_arrival,C,Holes,26
emerik,01,5,Center_Book_arrival,A,Fehn_c,74
emerik,01,5,Center_Book_arrival,D,ICIP_TMM,90
emerik,01,5,Center_Book_arrival,B,Fehn_i,72
emerik,01,6,Right_Newspaper,F,ICIP_TMM,29
emerik,01,6,Right_Newspaper,C,Holes,10
emerik,01,6,Right_Newspaper,A,Fehn_c,34
emerik,01,6,Right_Newspaper,E,Original,100
emerik,01,6,Right_Newspaper,D,Fehn_i,51
emerik,01,6,Right_Newspaper,B,ICME,39
