participant,session,trial,reference,label,condition,rating
gabin,01,1,Center_Newspaper,E,Original,98
gabin,01,1,Center_Newspaper,D,ICIP_TMM,77
gabin,01,1,Center_Newspaper,F,Holes,40
gabin,01,1,Center_Newspaper,B,ICME,73
gabin,01,1,Center_Newspaper,A,Fehn_i,79
gabin,01,1,Center_Newspaper,C,Fehn_c,90
gabin,01,2,Right_Newspaper,A,Original,100
gabin,01,2,Right_Newspaper,D,ICME,49
gabin,01,2,Right_Newspaper,B,ICIP_TMM,59
gabin,01,2,Right_Newspaper,F,Fehn_i,49
gabin,01,2,Right_Newspaper,C,Fehn_c,77
gabin,01,2,Right_Newspaper,E,Holes,34
gabin,01,3,Center_Book_arrival,C,ICME,73
gabin,01,3,Center_Book_arrival,A,Original,100
gabin,01,3,Center_Book_arrival,D,Fehn_i,84
gabin,01,3,Center_Book_arrival,B,Fehn_c,85
gabin,01,3,Center_Book_arrival,E,ICIP_TMM,60
gabin,01,3,Center_Book_arrival,F,Holes,41
gabin,01,4,Right_Lovebird,B,ICME,46
gabin,01,4,Right_Lovebird,E,Holes,24
gabin,01,4,Right_Lovebird,A,Fehn_i,37
gabin,01,4,Right_Lovebird,D,Fehn_c,61
gabin,01,4,Right_Lovebird,F,Original,100
gabin,01,4,Right_Lovebird,C,ICIP_TMM,50
gabin,01,5,Center_Lovebird,C,ICME,49
gabin,01,5,Center_Lovebird,D,Fehn_c,77
gabin,01,5,Center_Lovebird,B,Fehn_i,94
gabin,01,5,Center_Lovebird,F,Holes,30
gabin,01,5,Center_Lovebird,A,Original,100
gabin,01,5,Center_Lovebird,E,ICIP_TMM,47
gabin,01,6,Right_Book_arrival,C,Fehn_i,38
gabin,01,6,Right_Book_arrival,A,ICME,19
gabin,01,6,Right_Book_arrival,F,ICIP_TMM,47
gabin,01,6,Right_Book_arrival,B,Fehn_c,38
gabin,01,6,Right_Book_arrival,D,Original,75
gabin,01,6,Right_Book_arrival,E,Holes,4
