participant,session,trial,reference,label,condition,rating
lou-anne,01,1,Right_Newspaper,D,Fehn_c,34
lou-anne,01,1,Right_Newspaper,E,Original,98
lou-anne,01,1,Right_Newspaper,C,ICIP_TMM,9
lou-anne,01,1,Right_Newspaper,B,Holes,0
lou-anne,01,1,Right_Newspaper,A,Fehn_i,6
lou-anne,01,1,Right_Newspaper,F,ICME,9
lou-anne,01,2,Right_Book_arrival,D,Holes,10
lou-anne,01,2,Right_Book_arrival,B,ICIP_TMM,24
lou-anne,01,2,Right_Book_arrival,C,ICME,18
lou-anne,01,2,Right_Book_arrival,A,Fehn_c,34
lou-anne,01,2,Right_Book_arrival,F,Fehn_i,35
lou-anne,01,2,Right_Book_arrival,E,Original,100
lou-anne,01,3,Right_Lovebird,C,Original,87
lou-anne,01,3,Right_Lovebird,D,Fehn_c,41
lou-anne,01,3,Right_Lovebird,B,ICIP_TMM,21
lou-anne,01,3,Right_Lovebird,E,Holes,13
lou-anne,01,3,Right_Lovebird,A,ICME,10
lou-anne,01,3,Right_Lovebird,F,Fehn_i,39
lou-anne,01,4,Center_Newspaper,B,Fehn_i,49
lou-anne,01,4,Center_Newspaper,A,Fehn_c,66
lou-anne,01,4,Center_Newspaper,E,ICIP_TMM,37
lou-anne,01,4,Center_Newspaper,D,Holes,12
lou-anne,01,4,Center_Newspaper,F,Original,99
lou-anne,01,4,Center_Newspaper,C,ICME,32
lou-anne,01,5,Center_Book_arrival,A,Fehn_c,83
lou-anne,01,5,Center_Book_arrival,C,Holes,13
lou-anne,01,5,Center_Book_arrival,E,ICME,19
lou-anne,01,5,Center_Book_arrival,F,Fehn_i,31
lou-anne,01,5,Center_Book_arrival,B,Original,96
lou-anne,01,5,Center_Book_arrival,D,ICIP_TMM,56
lou-anne,01,6,Center_Lovebird,E,ICIP_TMM,24
lou-anne,01,6,Center_Lovebird,A,Fehn_i,50
lou-anne,01,6,Center_Lovebird,F,Fehn_c,61
lou-anne,01,6,Center_Lovebird,B,Original,69
lou-anne,01,6,Center_Lovebird,C,Holes,22
lou-anne,01,6,Center_Lovebird,D,ICME,43
