participant,session,trial,reference,label,condition,rating
malo,01,1,Right_Book_arrival,D,Fehn_c,60
malo,01,1,Right_Book_arrival,A,Original,98
malo,01,1,Right_Book_arrival,C,Fehn_i,47
malo,01,1,Right_Book_arrival,B,ICIP_TMM,75
malo,01,1,Right_Book_arrival,E,Holes,25
malo,01,1,Right_Book_arrival,F,ICME,7
malo,01,2,Center_Book_arrival,D,Fehn_c,90
malo,01,2,Center_Book_arrival,B,ICIP_TMM,81
malo,01,2,Center_Book_arrival,C,Original,100
malo,01,2,Center_Book_arrival,E,ICME,58
malo,01,2,Center_Book_arrival,A,Holes,44
malo,01,2,Center_Book_arrival,F,Fehn_i,65
malo,01,3,Right_Lovebird,E,Fehn_c,55
malo,01,3,Right_Lovebird,D,ICME,75
malo,01,3,Right_Lovebird,B,Fehn_i,45
malo,01,3,Right_Lovebird,A,ICIP_TMM,60
malo,01,3,Right_Lovebird,C,Holes,35
malo,01,3,Right_Lovebird,F,Original,100
malo,01,4,Center_Lovebird,C,Fehn_i,60
malo,01,4,Center_Lovebird,E,ICME,40
malo,01,4,Center_Lovebird,F,Fehn_c,75
malo,01,4,Center_Lovebird,A,ICIP_TMM,50
malo,01,4,Center_Lovebird,D,Holes,35
malo,01,4,Center_Lovebird,B,Original,100
malo,01,5,Right_Newspaper,E,Fehn_i,40
malo,01,5,Right_Newspaper,A,Holes,20
malo,01,5,Right_Newspaper,B,Fehn_c,60
malo,01,5,Right_Newspaper,C,ICME,30
malo,01,5,Right_Newspaper,F,ICIP_TMM,35
malo,01,5,Right_Newspaper,D,Original,100
malo,01,6,Center_Newspaper,F,Original,100
malo,01,6,Center_Newspaper,D,Fehn_i,70
malo,01,6,Center_Newspaper,B,Holes,30
malo,01,6,Center_Newspaper,C,ICIP_TMM,50
malo,01,6,Center_Newspaper,A,Fehn_c,80
malo,01,6,Center_Newspaper,E,ICME,40
