participant,session,trial,reference,label,condition,rating
maria,01,1,Center_Newspaper,C,Original,100
maria,01,1,Center_Newspaper,A,Holes,13
maria,01,1,Center_Newspaper,E,Fehn_i,65
maria,01,1,Center_Newspaper,B,ICIP_TMM,32
maria,01,1,Center_Newspaper,F,Fehn_c,74
maria,01,1,Center_Newspaper,D,ICME,28
maria,01,2,Right_Newspaper,C,Original,100
maria,01,2,Right_Newspaper,D,ICME,21
maria,01,2,Right_Newspaper,A,Fehn_c,70
maria,01,2,Right_Newspaper,E,Fehn_i,56
maria,01,2,Right_Newspaper,B,Holes,1
maria,01,2,Right_Newspaper,F,ICIP_TMM,17
maria,01,3,Right_Lovebird,A,Holes,0
maria,01,3,Right_Lovebird,B,Fehn_i,81
maria,01,3,Right_Lovebird,F,Fehn_c,82
maria,01,3,Right_Lovebird,D,Original,100
maria,01,3,Right_Lovebird,E,ICIP_TMM,51
maria,01,3,Right_Lovebird,C,ICME,45
maria,01,4,Right_Book_arrival,B,Holes,16
maria,01,4,Right_Book_arrival,E,Original,98
maria,01,4,Right_Book_arrival,C,Fehn_c,79
maria,01,4,Right_Book_arrival,F,Fehn_i,62
maria,01,4,Right_Book_arrival,A,ICME,19
maria,01,4,Right_Book_arrival,D,ICIP_TMM,32
maria,01,5,Center_Lovebird,A,Fehn_c,73
maria,01,5,Center_Lovebird,D,Original,100
maria,01,5,Center_Lovebird,F,Holes,24
maria,01,5,Center_Lovebird,C,Fehn_i,82
maria,01,5,Center_Lovebird,B,ICIP_TMM,40
maria,01,5,Center_Lovebird,E,ICME,35
maria,01,6,Center_Book_arrival,D,Fehn_i,76
maria,01,6,Center_Book_arrival,B,ICME,44
maria,01,6,Center_Book_arrival,F,Holes,12
maria,01,6,Center_Book_arrival,C,Original,100
maria,01,6,Center_Book_arrival,E,Fehn_c,89
maria,01,6,Center_Book_arrival,A,ICIP_TMM,55
