participant,session,trial,reference,label,condition,rating
yasmina,01,1,Right_Book_arrival,A,Holes,46
yasmina,01,1,Right_Book_arrival,D,ICIP_TMM,69
yasmina,01,1,Right_Book_arrival,C,Original,88
yasmina,01,1,Right_Book_arrival,B,Fehn_i,55
yasmina,01,1,Right_Book_arrival,E,Fehn_c,50
yasmina,01,1,Right_Book_arrival,F,ICME,44
yasmina,01,2,Center_Book_arrival,E,Fehn_c,81
yasmina,01,2,Center_Book_arrival,F,Original,90
yasmina,01,2,Center_Book_arrival,C,ICIP_TMM,53
yasmina,01,2,Center_Book_arrival,B,ICME,53
yasmina,01,2,Center_Book_arrival,A,Holes,23
yasmina,01,2,Center_Book_arrival,D,Fehn_i,78
yasmina,01,3,Center_Newspaper,B,Fehn_c,98
yasmina,01,3,Center_Newspaper,E,Fehn_i,91
yasmina,01,3,Center_Newspaper,C,ICME,54
yasmina,01,3,Center_Newspaper,D,ICIP_TMM,43
yasmina,01,3,Center_Newspaper,A,Holes,23
yasmina,01,3,Center_Newspaper,F,Original,88
yasmina,01,4,Center_Lovebird,C,Original,96
yasmina,01,4,Center_Lovebird,F,Fehn_i,72
yasmina,01,4,Center_Lovebird,A,Fehn_c,63
yasmina,01,4,Center_Lovebird,B,ICIP_TMM,47
yasmina,01,4,Center_Lovebird,E,Holes,29
yasmina,01,4,Center_Lovebird,D,ICME,24
yasmina,01,5,Right_Lovebird,B,Fehn_c,21
yasmina,01,5,Right_Lovebird,C,Original,100
yasmina,01,5,Right_Lovebird,E,Fehn_i,40
yasmina,01,5,Right_Lovebird,A,ICME,32
yasmina,01,5,Right_Lovebird,D,ICIP_TMM,17
yasmina,01,5,Right_Lovebird,F,Holes,7
yasmina,01,6,Right_Newspaper,B,Fehn_c,70
yasmina,01,6,Right_Newspaper,F,ICIP_TMM,45
yasmina,01,6,Right_Newspaper,C,Fehn_i,56
yasmina,01,6,Right_Newspaper,E,Original,94
yasmina,01,6,Right_Newspaper,D,ICME,39
yasmina,01,6,Right_Newspaper,A,Holes,13
